ID,Country,VFN,Mp,Mh,Man,MMS,Tan,T,Va,Ve,Mk,Cn,Ct,Cr,r,m (kg),Mt,Enedc (g/km),Ewltp (g/km),W (mm),At1 (mm),At2 (mm),Ft,Fm,ec (cm3),ep (KW),z (Wh/km),IT,Ernedc (g/km),Erwltp (g/km),De,Vf,Status,year,Date of registration,Fuel consumption ,Electric range (km)
53083201,PT,IP-JBA1ADDTL4A_000-VF1-1,RENAULT-NISSAN-MITSUBISHI,RENAULT,RENAULT SAS,,E2*2007/46*0684*05,RJB,HD2,AD6TA57A5000,RENAULT,CAPTUR,M1,M1,1,1378.0,1507.0,,125.0,2639.0,1560.0,1547.0,DIESEL,M,1461.0,85.0,,,,,,,P,2021,2021-06-24,,
46420965,IT,IP-HNE____MB6D542C-VR3-0,STELLANTIS,PSA,PSA AUTOMOBILES SA,,E2*2007/46*0639*13,U,P,HNEK-X1B500,OPEL,CORSA,M1,M1,1,1165.0,1285.0,,119.0,2540.0,,,PETROL,M,1199.0,74.0,,,,2.1,,,P,2021,2021-04-28,4.3,
54956377,FR,IP-HMH____MA5_5310-VR3-0,STELLANTIS,PSA,PSA AUTOMOBILES SA,,E2*2007/46*0639*14,U,P,HMHD-J1K400,PEUGEOT,208,M1,M1,1,1055.0,1152.0,,119.0,2540.0,1500.0,1500.0,PETROL,M,1199.0,55.0,,e2 29,,1.2,,,P,2021,2021-09-02,5.3,
57284760,NL,IP-A03ACVT_2_14_01-MMC-1,RENAULT-NISSAN-MITSUBISHI,MITSUBISHI MOTORS THAILAND,MITSUBISHI MOTORS THAILAND CO LTD,,E1*2007/46*0951*15,A00,A0411,AEBCCCA5AAAA,MITSUBISHI,MITSUBISHI SPACE STAR,M1,M1,1,985.0,1091.0,,121.0,2450.0,1430.0,1420.0,PETROL,M,1193.0,52.0,,e1 29,,0.8,,,P,2021,,,
45965691,IT,IP-e4JLPHEVSAH-1C4-1,STELLANTIS,CHRYSLER,FCA US LLC,,E4*2001/116*0116*38,JK,JTAFG,M5H62A,JEEP,WRANGLER UNLIMITED,M1G,M1,1,2348.0,,,239.0,3008.0,,,PETROL/ELECTRIC,P,1995.0,200.0,,,,,,,P,2021,2021-05-31,,44.0
40727966,DK,,RENAULT-NISSAN-MITSUBISHI,RENAULT,RENAULT SAS,,E2*2007/46*0676*10,RJA,BE2,MT6UA4GA5000,RENAULT,CLIO,M1,M1,1,1170.0,1245.0,111.0,117.0,2583.0,1506.0,1494.0,PETROL,M,999.0,67.0,,e9 28 29,,,,,P,2021,,,
860705,ES,,STELLANTIS,FIAT GROUP,FCA ITALY SPA,,E3*2007/46*0373*27,356,WXN1A,NBAA5BE,FIAT,TIPO,M1,M1,1,1345.0,,117.0,128.0,2638.0,1542.0,1543.0,PETROL,M,999.0,73.0,,,,,,,P,2021,2021-07-30,5.6,
56613765,BE,IP-YHT____MB6_611D-VR3-0,STELLANTIS,PSA,PSA AUTOMOBILES SA,,E2*2007/46*0624*10,E,C,YHT2-A2C300,CITROEN,BERLINGO,M1,M1,1,1505.0,1659.0,,135.0,2785.0,1563.0,1577.0,DIESEL,M,1499.0,75.0,,e2 29,,1.1,,,P,2021,2021-03-18,4.1,
55950739,NO,,MAZDA-SUBARU-SUZUKI-TOYOTA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,,E6*2007/46*0289*04,"XA5(EU,M)",AXAL54(N),AXAL54L-ANXMBW(1E),TOYOTA,RAV4,M1,M1,1,1720.0,,,128.0,2690.0,1610.0,1640.0,PETROL,H,2487.0,131.0,,,,,,,P,2021,2021-06-18,5.7,
51038248,DE,IP-0069-JT1-1,MAZDA-SUBARU-SUZUKI-TOYOTA,TOYOTA,TOYOTA MOTOR EUROPE NV SA,,E6*2007/46*0318*04,"ZE1HE(EU,M)",MZEH12(W),MZEH12L-DWXGBW(5E),TOYOTA,TOYOTA COROLLA,M1,M1,1,1445.0,1675.0,,121.0,2700.0,1530.0,1530.0,PETROL,H,1987.0,112.0,,E6 28,,0.6,,,P,2021,2021-10-29,5.3,
57101670,AT,IP-2020_1415-W1K-1,MERCEDES-BENZ,MERCEDES-BENZ AG,MERCEDES-BENZ AG,,E1*2007/46*1912*11,F2CLA,3254T1,LZAA150A,MERCEDES-BENZ,AMG CLA 45 S,M1,M1,1,1715.0,1856.0,,205.0,2729.0,1616.0,1597.0,PETROL,M,1991.0,310.0,,,,,,,P,2021,2021-09-14,,
51137249,DE,IP-MQB37AS_B3_0822-WVW-1,VW-SAIC,VOLKSWAGEN,VOLKSWAGEN AG,,E1*2001/116*0450*54,5N,ACDTUAX1,AD7AD7GC010L5T6NVR24BI1BSB0M1JS,"VOLKSWAGEN, VW",TIGUAN,M1,M1,1,1788.0,2010.0,,178.0,2787.0,1564.0,1575.0,DIESEL,M,1968.0,147.0,,,,,,,P,2021,2021-03-15,6.8,
